date,team,total_wins,localwinrate,KDA,vspm,cspm,dms,league,team_dragons_adv,firstheraldrate,barons,team_kpm,dtpm,dpm,golddiffat15,xpdiffat15,firsttower,timediff
2020-02-12T09:06:32Z,Afreeca Freecs,42,0.452,0.882,1.48,5.719,0.2,LCK,-3,0,0,0.102,2076.403,1575.536,-1328,128,0,225.62
2020-02-12T09:06:32Z,SeolHaeOne Prince,23,0.274,14,2.02,5.556,0.2,LCK,3,1,2,0.434,2491.25,1498.112,1328,-128,1,225.62
2020-02-12T09:55:46Z,Afreeca Freecs,42,0.452,23.5,1.792,6.514,0.2,LCK,3,0,0,0.417,1998.576,1591.076,5158,3151,1,225.586
2020-02-12T09:55:46Z,SeolHaeOne Prince,23,0.274,0.583,1.215,5.986,0.2,LCK,-3,1,0,0.069,2296.875,1243.681,-5158,-3151,0,225.586
2020-02-12T10:52:24Z,Griffin,17,0.34,0.889,1.494,6.376,0.2,LCK,-4,1,0,0.077,2365.97,1055.821,-631,-1961,0,225.547
2020-02-12T10:52:24Z,SANDBOX Gaming,38,0.409,10.667,1.827,6.786,0.2,LCK,4,0,1,0.23,1854.832,1448.546,631,1961,1,225.547
2020-02-12T12:29:57Z,Griffin,17,0.34,4.312,1.605,5.98,0.2,LCK,-2,0,0,0.527,2635.134,2165.97,1163,813,1,225.479
2020-02-12T12:29:57Z,SANDBOX Gaming,38,0.409,2.381,2.027,6.271,0.2,LCK,2,1,0,0.401,2806.279,2058.035,-1163,-813,0,225.479
2020-02-12T13:31:08Z,Griffin,17,0.34,14.333,1.834,6.536,0.2,LCK,2,1,1,0.332,2025.304,1335.11,-2062,-917,0,225.437
2020-02-12T13:31:08Z,SANDBOX Gaming,38,0.409,0.75,1.619,6.834,0.2,LCK,-2,0,0,0.083,1967.68,1163.287,2062,917,1,225.437
2020-02-13T07:52:14Z,KT Rolster,43,0.467,0.833,1.408,6.632,0.2,LCK,-3,1,0,0.094,2510.74,1207.383,-1346,-1158,0,224.672
