date,team,total_wins,worldwinrate,KDA,vspm,cspm,dms,league,team_dragons_adv,firstheraldrate,barons,team_kpm,dtpm,dpm,golddiffat15,xpdiffat15,firsttower,timediff
2020-09-29T06:44:11Z,LGD Gaming,11,0.647,13.333,1.732,6.876,0.2,WCS,5,0,1,0.389,2104.897,1626.908,-296,1259,0,-102.736
2020-09-29T06:44:11Z,Rainbow7,2,0.286,0.667,1.245,6,0.2,WCS,-5,1,0,0.097,2235.762,981.535,296,-1259,1,-102.736
2020-09-29T07:40:37Z,LGD Gaming,11,0.647,6,1.623,6.526,0.2,WCS,1,1,1,0.565,2630.223,2130.342,-147,-2464,1,-103.677
2020-09-29T07:40:37Z,Rainbow7,2,0.286,1.526,1.361,6.068,0.2,WCS,-1,0,0,0.297,2944.755,1695.631,147,2464,0,-103.677
2020-09-29T08:38:51Z,MAD Lions,4,0.4,2.182,1.415,5.913,0.2,WCS,0,1,0,0.382,3116.803,2120.3,-2126,-2475,0,-104.647
2020-09-29T08:38:51Z,SuperMassive Esports,5,0.417,5.643,1.295,5.863,0.2,WCS,0,0,0,0.601,3170.82,2342.24,2126,2475,1,-104.647
2020-09-29T09:42:41Z,MAD Lions,4,0.4,5.889,1.489,5.585,0.2,WCS,1,1,1,0.447,2746.645,2094.313,2607,-1252,1,-105.711
2020-09-29T09:42:41Z,SuperMassive Esports,5,0.417,1.857,1.195,5.77,0.2,WCS,-1,0,0,0.288,2801.118,1973.195,-2607,1252,0,-105.711
2020-09-29T10:39:13Z,MAD Lions,4,0.4,1.19,1.37,6.337,0.2,WCS,-2,1,0,0.242,2786.953,2037.696,-1834,-2733,0,-106.654
2020-09-29T10:39:13Z,SuperMassive Esports,5,0.417,8.25,1.413,6.421,0.2,WCS,2,0,1,0.637,2899.95,2036.877,1834,2733,1,-106.654
2020-09-29T11:36:11Z,MAD Lions,4,0.4,7.571,1.445,6.562,0.2,WCS,-2,1,1,0.417,2307.095,2242.921,255,-122,0,-107.603
2020-09-29T11:36:11Z,SuperMassive Esports,5,0.417,2,1.355,6.639,0.2,WCS,2,0,0,0.225,3082.151,1514.96,-255,122,1,-107.603
2020-09-29T12:36:32Z,MAD Lions,4,0.4,1.316,1.282,6.874,0.2,WCS,-2,0,0,0.27,3213.895,1944.857,-3795,-3488,0,-108.609
2020-09-29T12:36:32Z,SuperMassive Esports,5,0.417,6.75,1.45,6.927,0.2,WCS,2,1,1,0.641,2975.076,2466.509,3795,3488,1,-108.609
2020-09-30T05:28:09Z,Legacy Esports,3,0.375,1.444,1.244,6.791,0.2,WCS,-3,0,0,0.104,2171.606,1263.42,-2540,1527,0,-125.469
2020-09-30T05:28:09Z,LGD Gaming,11,0.647,10.333,1.437,7.337,0.2,WCS,3,1,1,0.311,2262.694,1303.558,2540,-1527,1,-125.469
2020-09-30T06:42:40Z,Legacy Esports,3,0.375,4.588,1.251,5.525,0.2,WCS,1,0,2,0.477,3462.316,2401.167,-1907,-2507,0,-126.711
2020-09-30T06:42:40Z,LGD Gaming,11,0.647,3.556,1.617,6.84,0.2,WCS,-1,1,0,0.451,3526.982,2465.091,1907,2507,1,-126.711
2020-09-30T07:45:17Z,Legacy Esports,3,0.375,0.786,1.108,6.582,0.2,WCS,-1,1,0,0.16,2772.682,1208.87,-346,-815,0,-127.755
2020-09-30T07:45:17Z,LGD Gaming,11,0.647,11,1.292,6.855,0.2,WCS,1,0,1,0.562,2101.084,1729.084,346,815,1,-127.755
2020-09-30T08:32:15Z,SuperMassive Esports,5,0.417,2.19,1.1,6.076,0.2,WCS,-2,0,0,0.379,3027.692,1955.564,-1163,39,0,-128.537
2020-09-30T08:32:15Z,Unicorns Of Love.CIS,6,0.429,5.917,1.429,6.405,0.2,WCS,2,1,2,0.664,3077.102,2317.461,1163,-39,1,-128.537
2020-09-30T09:36:23Z,SuperMassive Esports,5,0.417,1.458,1.106,6.058,0.2,WCS,-1,1,0,0.334,3083.757,2062.724,-2578,-1816,0,-129.606
2020-09-30T09:36:23Z,Unicorns Of Love.CIS,6,0.429,6.455,1.689,6.422,0.2,WCS,1,0,1,0.729,3053.256,2093.59,2578,1816,1,-129.606
